ts,eventId,Transform
2024-12-06T15:58:46.8379759Z,1,"{""position"":{""x"":0.0,""y"":1.36144,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:46.9820298Z,2,"{""position"":{""x"":0.0,""y"":1.36144,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:46.9830357Z,3,"{""position"":{""x"":0.0,""y"":1.36144,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:50.5528305Z,1,"{""position"":{""x"":0.0,""y"":1.36144,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:50.5528305Z,2,"{""position"":{""x"":0.0,""y"":1.36144,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:50.5528305Z,3,"{""position"":{""x"":0.0,""y"":1.36144,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:50.9225744Z,1,"{""position"":{""x"":0.0,""y"":0.0,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:50.9230749Z,2,"{""position"":{""x"":0.0,""y"":0.0,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:50.9230749Z,3,"{""position"":{""x"":0.0,""y"":0.0,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.2655623Z,1,"{""position"":{""x"":-0.03292351,""y"":1.58051038,""z"":0.0170810372},""rotation"":{""x"":-0.01963098,""y"":-0.234883562,""z"":-0.0108824354,""w"":0.9717643},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.2660654Z,2,"{""position"":{""x"":0.0,""y"":0.0,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.2660654Z,3,"{""position"":{""x"":0.0,""y"":0.0,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.3026884Z,1,"{""position"":{""x"":-0.0321800746,""y"":1.58020246,""z"":0.0177628826},""rotation"":{""x"":-0.0181410573,""y"":-0.231413573,""z"":-0.0118390666,""w"":0.9726143},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.3026884Z,2,"{""position"":{""x"":0.0,""y"":0.0,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
