ts,eventId,ItemType,Transform
2025-05-08T02:52:18.9359311Z,0,Grave,"{""position"":{""x"":3.71800041,""y"":0.3080001,""z"":4.563},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2025-05-08T02:52:19.9784998Z,0,Grave,"{""position"":{""x"":5.21,""y"":0.312000036,""z"":4.563},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2025-05-08T02:52:22.7526546Z,0,Spider,"{""position"":{""x"":1.25045455,""y"":0.321231127,""z"":4.364804},""rotation"":{""x"":0.0,""y"":0.975913048,""z"":0.0,""w"":-0.218159974},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2025-05-08T02:52:23.6156634Z,0,Dust,"{""position"":{""x"":2.376,""y"":0.3,""z"":3.897},""rotation"":{""x"":0.0,""y"":-0.577364266,""z"":0.0,""w"":0.8164867},""localScale"":{""x"":0.02,""y"":0.02,""z"":0.02}}"
2025-05-08T02:52:24.6309825Z,0,Dust,"{""position"":{""x"":2.66,""y"":0.3,""z"":3.39},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":0.02,""y"":0.02,""z"":0.02}}"
2025-05-08T02:52:27.6374687Z,0,Dust,"{""position"":{""x"":5.134,""y"":0.3,""z"":5.821},""rotation"":{""x"":0.0,""y"":-0.872763634,""z"":0.0,""w"":0.488143176},""localScale"":{""x"":0.02,""y"":0.02,""z"":0.02}}"
2025-05-08T02:52:27.9148619Z,0,Dust,"{""position"":{""x"":5.029,""y"":0.3,""z"":5.215},""rotation"":{""x"":0.0,""y"":-0.9790828,""z"":0.0,""w"":0.203462258},""localScale"":{""x"":0.02,""y"":0.02,""z"":0.02}}"
2025-05-08T02:52:28.6941483Z,0,Dust,"{""position"":{""x"":5.83,""y"":0.3,""z"":5.81},""rotation"":{""x"":0.0,""y"":-0.210736051,""z"":0.0,""w"":0.977543},""localScale"":{""x"":0.02,""y"":0.02,""z"":0.02}}"
2025-05-08T02:52:28.9733668Z,0,Dust,"{""position"":{""x"":5.658,""y"":0.3,""z"":5.247},""rotation"":{""x"":0.0,""y"":-0.9309801,""z"":0.0,""w"":0.365070015},""localScale"":{""x"":0.02,""y"":0.02,""z"":0.02}}"
2025-05-08T02:52:32.1475635Z,0,Spider,"{""position"":{""x"":-1.02169549,""y"":0.3199823,""z"":4.259361},""rotation"":{""x"":0.0,""y"":0.457274377,""z"":0.0,""w"":0.8893256},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
