pID,conditions,ts,sampleIndex,headset_detected,Headset_Pos_X,Headset_Pos_Y,Headset_Pos_Z,headset_rot,left_detected,LeftController_Pos_X,LeftController_Pos_Y,LeftController_Pos_Z,left_rot,left_trigger,left_grip,left_primaryButton,left_secondaryButton,left_primary2DAxisClick,right_detected,RightController_Pos_X,RightController_Pos_Y,RightController_Pos_Z,right_rot,right_trigger,right_grip,right_primaryButton,right_secondaryButton,right_primary2DAxisClick
1,{},4.777418,0,1,0.01205748,1.780642,6.071873,"(-0.0450,0.9595,-0.0174,-0.2774)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},4.795438,1,1,0.01189156,1.780396,6.07207,"(-0.0447,0.9590,-0.0184,-0.2793)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},4.834405,2,1,0.0118146,1.780209,6.072165,"(-0.0448,0.9587,-0.0187,-0.2801)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},4.973366,3,1,0.01171622,1.780105,6.072234,"(-0.0446,0.9585,-0.0187,-0.2809)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.062572,4,1,0.01326868,1.779819,6.070975,"(-0.0441,0.9616,-0.0203,-0.2700)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.1223,5,1,0.0144724,1.779363,6.06971,"(-0.0446,0.9636,-0.0228,-0.2626)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.162049,6,1,0.01564712,1.778975,6.068223,"(-0.0437,0.9654,-0.0252,-0.2560)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.21424,7,1,0.01687017,1.778754,6.06705,"(-0.0434,0.9671,-0.0276,-0.2492)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.25324,8,1,0.01760178,1.778649,6.066337,"(-0.0433,0.9682,-0.0281,-0.2448)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.293946,9,1,0.01886329,1.778466,6.065315,"(-0.0435,0.9699,-0.0294,-0.2377)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.336403,10,1,0.01978414,1.778441,6.064818,"(-0.0426,0.9714,-0.0305,-0.2318)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.374855,11,1,0.02207399,1.778266,6.063478,"(-0.0433,0.9745,-0.0325,-0.2177)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.417206,12,1,0.02599481,1.777515,6.061677,"(-0.0449,0.9794,-0.0367,-0.1936)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.453584,13,1,0.02819669,1.776774,6.060614,"(-0.0447,0.9818,-0.0407,-0.1802)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.495625,14,1,0.0333215,1.773853,6.058242,"(-0.0419,0.9854,-0.0590,-0.1538)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.54563,15,1,0.03453139,1.772295,6.057478,"(-0.0428,0.9858,-0.0667,-0.1479)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.583474,16,1,0.03893136,1.768541,6.054899,"(-0.0448,0.9870,-0.0909,-0.1251)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.626426,17,1,0.04231185,1.764663,6.052692,"(-0.0428,0.9865,-0.1154,-0.1077)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.66829,18,1,0.04488511,1.76132,6.050406,"(-0.0398,0.9854,-0.1365,-0.0941)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.758983,19,1,0.04778681,1.759225,6.045044,"(-0.0336,0.9847,-0.1498,-0.0826)",-1,0,0,0,NA,-1,-1,-1,-1,-1,-1,0,0,0,NA,-1,-1,-1,-1,-1
1,{},5.797757,20,1,0.0494464,1.758478,6.042062,"(-0.0283,0.9846,-0.1539,-0.0783)",1,-0.3208063,3.453918,4.872193,"(-0.5726,-0.6061,0.4269,0.3501)",-1,-1,-1,-1,-1,1,-1.922957,3.684782,4.805025,"(0.7802,-0.4497,-0.3259,0.2880)",-1,-1,-1,-1,-1
1,{},5.838828,21,1,0.05033905,1.757944,6.041056,"(-0.0255,0.9841,-0.1572,-0.0783)",1,-0.3259056,3.455685,4.878471,"(-0.5697,-0.6072,0.4282,0.3512)",-1,-1,-1,-1,-1,1,-1.924624,3.686719,4.807944,"(0.7800,-0.4505,-0.3249,0.2882)",-1,-1,-1,-1,-1
1,{},5.88159,22,1,0.05116508,1.757072,6.040541,"(-0.0240,0.9835,-0.1619,-0.0770)",1,-0.3271217,3.45901,4.878239,"(-0.5722,-0.6048,0.4290,0.3503)",-1,-1,-1,-1,-1,1,-1.924834,3.689243,4.808465,"(0.7800,-0.4511,-0.3245,0.2878)",-1,-1,-1,-1,-1
1,{},5.925521,23,1,0.05172534,1.756708,6.040229,"(-0.0231,0.9835,-0.1627,-0.0757)",1,-0.3296556,3.456229,4.876571,"(-0.5686,-0.6081,0.4309,0.3481)",-1,-1,-1,-1,-1,1,-1.925818,3.689787,4.809388,"(0.7799,-0.4510,-0.3245,0.2882)",-1,-1,-1,-1,-1
