pID,conditions,ts,eventId,EventName,AssociatedObject,AssociatedTransform
1,{},4.737751,0,Progression,Loaded,"{""position"":{""x"":0.0,""y"":0.0,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},26.26489,5,ObjectCleaned,Pumpkin_G (2),"{""position"":{""x"":0.046,""y"":1.332,""z"":4.692},""rotation"":{""x"":0.0139293512,""y"":-0.004657272,""z"":0.0343465954,""w"":0.9993021},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},26.26918,1,SceneChange,CemetaryVMAT,"{""position"":{""x"":4.240026,""y"":-0.08000004,""z"":1.06593275},""rotation"":{""x"":0.0,""y"":-0.382683456,""z"":0.0,""w"":0.923879564},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},30.21452,0,Progression,Loaded,"{""position"":{""x"":0.525000036,""y"":-0.376000017,""z"":-0.5450001},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},30.4121,0,Progression,GraveyardStart,"{""position"":{""x"":0.525000036,""y"":-0.376000017,""z"":-0.5450001},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},43.8249,5,ObjectCleaned,Gravestone_C_Destroyed,"{""position"":{""x"":3.71800041,""y"":0.3080001,""z"":4.563},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},45.03172,5,ObjectCleaned,Gravestone_A_Destroyed,"{""position"":{""x"":5.21,""y"":0.312000036,""z"":4.563},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},48.76794,6,EnemyKilled,Bat (4),"{""position"":{""x"":4.64633226,""y"":2.24249959,""z"":3.87288237},""rotation"":{""x"":0.308718979,""y"":-0.16131179,""z"":0.0532129332,""w"":0.935862958},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},49.71225,6,EnemyKilled,Bat (5),"{""position"":{""x"":4.75619364,""y"":2.40040016,""z"":5.68609142},""rotation"":{""x"":0.3649962,""y"":-0.6334961,""z"":0.45419392,""w"":0.5090859},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},50.91827,6,EnemyKilled,Bat (3),"{""position"":{""x"":5.81125546,""y"":2.37794447,""z"":4.8463397},""rotation"":{""x"":0.3218334,""y"":-0.4032449,""z"":0.154007047,""w"":0.84267354},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},57.40585,5,ObjectCleaned,Gravestone_F_Destroyed,"{""position"":{""x"":-3.776,""y"":0.3132,""z"":4.41900063},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},59.46339,5,ObjectCleaned,Gravestone_A_Destroyed (2),"{""position"":{""x"":-3.7805748,""y"":0.312000036,""z"":1.43416739},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
1,{},60.47588,0,Progression,DemoConditionsMet,"{""position"":{""x"":-2.67210865,""y"":0.296213627,""z"":-4.08996248},""rotation"":{""x"":-0.04001891,""y"":0.9965855,""z"":-0.07129342,""w"":0.0115389554},""localScale"":{""x"":0.01,""y"":0.01,""z"":0.01}}"
1,{},67.55383,0,Progression,DemoConcluded,"{""position"":{""x"":-1.95348954,""y"":0.3740707,""z"":-5.16052151},""rotation"":{""x"":-0.0222561527,""y"":0.9970264,""z"":-0.06353826,""w"":0.037498083},""localScale"":{""x"":0.01,""y"":0.01,""z"":0.01}}"
